PT,PT_Serial,Lat,Long,GNSS_offset,Date_inst,Time_inst,Time_end,UTC_time_start,UTC_time_end,POINT_X,POINT_Y,GNSS_file
1,2135437,42.558283,-72.554406,0.328,2021-09-08,2:36:00 PM,2:42:00 PM,6:36:00 PM,6:42:00 PM,700763.6839,4714662.622,LOG6_LP__2510
2,2135440,42.521482,-72.567409,0.332,2021-09-08,3:06:00 PM,3:12:00 PM,7:06:00 PM,7:12:00 PM,699813.5663,4710545.188,LOG6_LP__2510
3,2135445,42.498631,-72.564807,0.325,2021-09-08,3:36:00 PM,3:41:00 PM,7:36:00 PM,7:41:00 PM,700100.2312,4708013.731,LOG6_LP__2510
4,2135683,42.462225,-72.589016,0.321,2021-09-08,4:21:00 PM,4:25:00 PM,8:21:00 PM,8:25:00 PM,698225.8169,4703914.096,LOG6_LP__2510
5,2135426,42.441679,-72.585906,0.297,2021-08-30,10:40:00 AM,10:47:00 AM,2:40:00 PM,2:47:00 PM,698546.4886,4701639.83,LOG6_LP__2420
6,2135422,42.423205,-72.582956,0.31,2021-08-30,11:17:00 AM,11:24:00 AM,3:17:00 PM,3:24:00 PM,698847.5479,4699595.3,LOG6_LP__2420
7,2135678,42.399826,-72.577523,0.294,2021-08-30,12:09:00 PM,12:15:00 PM,4:09:00 PM,4:15:00 PM,699368.5988,4697011.904,LOG6_LP__2420
8,2135443,42.393029,-72.587049,0.296,2021-08-30,12:41:00 PM,12:50:00 PM,4:41:00 PM,4:50:00 PM,698606.0096,4696234.772,LOG6_LP__2420
9,2135671,42.368837,-72.589808,0.296,2021-08-30,1:23:00 PM,1:31:00 PM,5:23:00 PM,5:31:00 PM,698455.1594,4693541.966,LOG6_LP__2420
10,2135431,42.351356,-72.610535,0.301,2021-08-30,2:11:00 PM,2:17:00 PM,6:11:00 PM,6:17:00 PM,696802.9158,4691552.594,LOG6_LP__2420
11,2135441,42.344747,-72.637665,0.313,2021-08-31,11:18:00 AM,11:23:00 AM,3:18:00 PM,3:23:00 PM,694588.7572,4690756.152,LOG6_LP__2430
12,2135427,42.343607,-72.63737,0.314,2021-08-30,4:17:00 PM,4:22:00 PM,8:17:00 PM,8:22:00 PM,694616.5523,4690630.293,LOG6_LP__2420
13,2135442,42.347834,-72.636908,0.314,2021-08-30,2:46:00 PM,2:53:00 PM,6:46:00 PM,6:53:00 PM,694641.586,4691100.738,LOG6_LP__2420
14,2135425,42.349337,-72.638982,0.314,2021-08-30,3:07:00 PM,3:13:00 PM,7:07:00 PM,7:13:00 PM,694466.088,4691262.861,LOG6_LP__2420
15,2135684,42.346959,-72.637791,0.314,2021-08-31,10:09:00 AM,10:14:00 AM,2:09:00 PM,2:14:00 PM,694571.5135,4691001.563,LOG6_LP__2430
16,2135670,42.347559,-72.64062,0.314,2021-08-31,10:28:00 AM,10:33:00 AM,2:28:00 PM,2:33:00 PM,694336.6688,4691061.693,LOG6_LP__2430
17,2135679,42.345225,-72.638289,0.314,2021-08-30,3:58:00 PM,4:04:00 PM,7:58:00 PM,8:04:00 PM,694535.8555,4690807.852,LOG6_LP__2420
18,2135434,42.344729,-72.640545,0.314,2021-08-30,3:38:00 PM,3:45:00 PM,7:38:00 PM,7:45:00 PM,694351.5453,4690747.606,LOG6_LP__2420
19,2135435,42.344975,-72.637935,0.313,2021-08-31,11:04:00 AM,11:09:00 AM,3:04:00 PM,3:09:00 PM,694565.7873,4690780.852,LOG6_LP__2430
20,2135444,42.343837,-72.639855,0.313,2021-08-31,10:49:00 AM,10:55:00 AM,2:49:00 PM,2:55:00 PM,694411.1468,4690650.09,LOG6_LP__2430
21,2135424,42.337512,-72.619495,0.271,2021-08-31,9:39:00 AM,9:45:00 AM,1:39:00 PM,1:45:00 PM,696107.9509,4689994.526,LOG6_LP__2430
22,2135677,42.325357,-72.590045,0.348,2021-08-30,12:32:00 PM,12:37:00 PM,4:32:00 PM,4:37:00 PM,698572.478,4688713.144,LP__2420
23,2135430,42.30928,-72.600461,0.348,2021-08-30,1:02:00 PM,1:10:00 PM,5:02:00 PM,5:10:00 PM,697764.5434,4686903.604,LP__2420
24,2135676,42.283697,-72.607616,0.348,2021-08-30,1:47:00 PM,2:00:00 PM,5:47:00 PM,6:00:00 PM,697254.6779,4684046.136,LP__2420
25,2135682,42.258786,-72.607321,0.348,2021-08-30,2:47:00 PM,2:54:00 PM,6:47:00 PM,6:54:00 PM,697356.7495,4681280.605,LP__2420
26,2135667,42.246336,-72.619883,0.348,2021-08-30,3:17:00 PM,3:23:00 PM,7:17:00 PM,7:23:00 PM,696359.1955,4679869.102,LP__2420
27,2135439,42.225046,-72.610645,0.362,2021-08-30,4:03:00 PM,4:11:00 PM,8:03:00 PM,8:11:00 PM,697187.7201,4677526.34,LP__2420
