latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd2013,rcvr_clk_ns,g18,g18_ortho
42.58015738,-72.57469544,5.1115,18.28861,251,2021,33.072,7474569.57,-28.324,33.4355
42.58015719,-72.57469547,5.1398,18.28889,251,2021,33.1,474662.001,-28.324,33.4638
42.58015689,-72.57469525,5.187,18.28917,251,2021,33.147,-14.372,-28.324,33.511
42.58015683,-72.5746952,5.2286,18.28944,251,2021,33.189,-23.21,-28.324,33.5526
42.58015671,-72.5746952,5.2802,18.28972,251,2021,33.24,-31.473,-28.324,33.6042
42.58015658,-72.5746954,5.2679,18.29,251,2021,33.228,-39.562,-28.324,33.5919
42.58015663,-72.57469544,5.2337,18.29028,251,2021,33.194,-47.43,-28.324,33.5577
42.58015669,-72.57469544,5.2173,18.29056,251,2021,33.177,-55.347,-28.324,33.5413
42.58015683,-72.5746955,5.1641,18.29083,251,2021,33.124,-63.208,-28.324,33.4881
42.58015683,-72.57469557,5.1524,18.29111,251,2021,33.113,-70.487,-28.324,33.4764
42.58015678,-72.5746955,5.1731,18.29139,251,2021,33.133,-77.009,-28.324,33.4971
42.58015685,-72.5746954,5.1861,18.29167,251,2021,33.146,-82.777,-28.324,33.5101
42.58015684,-72.57469549,5.1458,18.29194,251,2021,33.106,-87.83,-28.324,33.4698
42.58015675,-72.57469544,5.1466,18.29222,251,2021,33.107,-91.857,-28.324,33.4706
42.58015681,-72.57469541,5.1647,18.2925,251,2021,33.125,-95.062,-28.324,33.4887
42.58015689,-72.57469537,5.1664,18.29278,251,2021,33.127,-97.491,-28.324,33.4904
42.58015702,-72.57469529,5.1961,18.29306,251,2021,33.156,-99.673,-28.324,33.5201
42.5801569,-72.57469538,5.1896,18.29333,251,2021,33.15,-101.146,-28.324,33.5136
42.58015704,-72.57469545,5.1604,18.29361,251,2021,33.121,-102.411,-28.324,33.4844
42.58015686,-72.57469562,5.1115,18.29389,251,2021,33.072,-103.477,-28.324,33.4355
42.58015693,-72.57469556,5.1227,18.29417,251,2021,33.083,-104.693,-28.324,33.4467
42.58015678,-72.57469556,5.1106,18.29444,251,2021,33.071,-105.883,-28.324,33.4346
42.58015678,-72.57469561,5.1056,18.29472,251,2021,33.066,-106.796,-28.324,33.4296
42.58015673,-72.57469562,5.1179,18.295,251,2021,33.078,-107.935,-28.324,33.4419
42.58015669,-72.57469568,5.1368,18.29528,251,2021,33.097,-108.773,-28.324,33.4608
