latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd2013,rcvr_clk_ns
42.33529704722223,-72.62013111944444,2.7032,14.12861,245,2021,31.017,593087.468
42.335297027777784,-72.62013117500001,2.7005,14.12889,245,2021,31.014,-406893.608
42.33529708333334,-72.62013111388886,2.679,14.12917,245,2021,30.992,-4.035
42.33529714166667,-72.62013093888886,2.6756,14.12944,245,2021,30.989,-13.409
42.335297030555566,-72.6201308,2.6651,14.12972,245,2021,30.979,-22.103
42.335296838888894,-72.62013075555555,2.6912,14.13000,245,2021,31.005,-30.389
42.335296763888906,-72.62013069999999,2.6958,14.13028,245,2021,31.009,-38.490
42.33529682222224,-72.62013088055554,2.7244,14.13056,245,2021,31.038,-46.104
42.33529690555556,-72.62013095833332,2.7533,14.13083,245,2021,31.067,-52.079
42.33529682777779,-72.62013089722221,2.7408,14.13111,245,2021,31.054,-56.055
42.33529684722223,-72.62013096388888,2.7518,14.13139,245,2021,31.065,-57.366
42.3352969,-72.62013096944443,2.7467,14.13167,245,2021,31.060,-56.154
42.33529695,-72.62013103888889,2.7568,14.13194,245,2021,31.070,-52.978
42.33529699722223,-72.6201309361111,2.7383,14.13222,245,2021,31.052,-48.506
42.33529709722223,-72.62013099166666,2.7167,14.13250,245,2021,31.030,-43.776
42.33529729722223,-72.62013056388888,2.7189,14.13278,245,2021,31.032,-39.127
42.33529723888889,-72.62013063055555,2.7195,14.13306,245,2021,31.033,-34.469
42.33529716944445,-72.62013059166667,2.7222,14.13333,245,2021,31.036,-27.460
42.335297080555556,-72.62013057499998,2.7183,14.13361,245,2021,31.032,-20.719
42.3352970638889,-72.62013047499998,2.719,14.13389,245,2021,31.032,-14.558
42.33529707777778,-72.62013066666664,2.73,14.13417,245,2021,31.043,-8.745
42.33529724722222,-72.62013108055554,2.7266,14.13444,245,2021,31.040,-3.403
42.335297325000006,-72.62013116666665,2.7442,14.13472,245,2021,31.058,0.862
42.33529736666667,-72.6201312611111,2.7384,14.13500,245,2021,31.052,4.324
42.33529741944445,-72.62013122222223,2.735,14.13528,245,2021,31.048,6.945
42.335297530555565,-72.62013114999999,2.7252,14.13556,245,2021,31.039,8.967
42.33529751666667,-72.62013116944443,2.7222,14.13583,245,2021,31.036,10.695
42.3352975,-72.6201311583333,2.7237,14.13611,245,2021,31.037,11.982
42.33529749722222,-72.62013113333332,2.7449,14.13639,245,2021,31.058,13.058
42.335297547222225,-72.62013087499997,2.741,14.13667,245,2021,31.054,13.658
42.33529764166668,-72.62013057499998,2.7497,14.13694,245,2021,31.063,14.139
42.335297911111105,-72.62013075555555,2.7556,14.13722,245,2021,31.069,14.372
42.335297700000005,-72.62013089166665,2.7033,14.13750,245,2021,31.017,14.626
42.33529737777778,-72.62013094444443,2.7072,14.13778,245,2021,31.021,14.862
42.335297494444454,-72.6201308,2.7251,14.13806,245,2021,31.039,15.133
42.33529745,-72.62013085833333,2.7272,14.13833,245,2021,31.041,15.275
42.335297700000005,-72.62013092777777,2.7385,14.13861,245,2021,31.052,15.402
42.335297777777775,-72.62013145555555,2.7497,14.13889,245,2021,31.063,15.396
42.33529746944445,-72.62013142222222,2.7792,14.13917,245,2021,31.093,15.389
42.33529758333333,-72.6201312861111,2.7498,14.13944,245,2021,31.063,15.117
42.3352975,-72.62013107499997,2.7767,14.13972,245,2021,31.090,14.830
42.335297530555565,-72.62013093888886,2.8157,14.14000,245,2021,31.129,14.679
42.33529755277778,-72.62013111388886,2.8182,14.14028,245,2021,31.132,14.677
42.335297672222225,-72.62013097499998,2.7751,14.14056,245,2021,31.089,14.512
42.335297519444445,-72.62013106111111,2.755,14.14083,245,2021,31.068,14.404
42.33529755555555,-72.62013092777777,2.7748,14.14111,245,2021,31.088,14.142
42.335297530555565,-72.62013087777775,2.7806,14.14139,245,2021,31.094,14.252
42.33529758611111,-72.62013072777778,2.7833,14.14167,245,2021,31.097,14.393
42.33529758055555,-72.62013085555554,2.7793,14.14194,245,2021,31.093,14.613
42.33529759722223,-72.62013113333332,2.7817,14.14222,245,2021,31.095,14.884
42.3352975888889,-72.62013111388886,2.7785,14.14250,245,2021,31.092,14.861
42.33529764166668,-72.62013072222221,2.775,14.14278,245,2021,31.088,14.803
42.33529758055555,-72.62013105277775,2.7802,14.14306,245,2021,31.094,14.907
42.33529766111112,-72.62013146944443,2.7678,14.14333,245,2021,31.081,15.157
42.335297772222226,-72.62013119166666,2.7592,14.14361,245,2021,31.073,15.769
42.335297774999994,-72.62013066666664,2.7586,14.14389,245,2021,31.072,15.721
42.335297655555564,-72.62013093888886,2.7708,14.14417,245,2021,31.084,15.788
42.33529776666667,-72.62013084444442,2.7591,14.14444,245,2021,31.073,15.747
42.33529769722223,-72.62013069722222,2.7264,14.14472,245,2021,31.040,15.509
42.3352974888889,-72.62013092222222,2.7636,14.14500,245,2021,31.077,15.718
42.33529712500001,-72.6201308,2.7679,14.14528,245,2021,31.081,15.839
42.3352969,-72.62013057222221,2.7848,14.14556,245,2021,31.098,15.594
42.33529690833333,-72.62013068055556,2.7751,14.14583,245,2021,31.089,15.565
42.33529687500001,-72.62013055277775,2.7638,14.14611,245,2021,31.077,15.597
42.335296944444444,-72.62013082222224,2.7586,14.14639,245,2021,31.072,15.144
42.335296919444446,-72.62013057777776,2.7346,14.14667,245,2021,31.048,14.679
42.335296733333344,-72.62013038055552,2.7512,14.14694,245,2021,31.065,14.293
42.335296725,-72.6201303361111,2.7403,14.14722,245,2021,31.054,14.218
42.33529670833334,-72.62013053888887,2.7559,14.14750,245,2021,31.069,14.199
42.33529661111111,-72.62013047777776,2.7492,14.14778,245,2021,31.063,13.946
42.33529660277779,-72.62013049166666,2.7578,14.14806,245,2021,31.071,13.993
42.33529658611111,-72.62013050833332,2.7465,14.14833,245,2021,31.060,14.091
42.33529663611112,-72.62013054722223,2.7371,14.14861,245,2021,31.051,14.139
42.33529683611112,-72.62013057777776,2.7248,14.14889,245,2021,31.038,14.148
42.335296919444446,-72.62013070277777,2.7304,14.14917,245,2021,31.044,14.169
42.33529687500001,-72.62013066388889,2.7646,14.14944,245,2021,31.078,14.226
42.335296897222214,-72.62013057499998,2.685,14.14972,245,2021,30.998,14.393
42.33529729166668,-72.62013109722221,2.6514,14.15000,245,2021,30.965,14.092
42.335297594444455,-72.62013123333332,2.6274,14.15028,245,2021,30.941,13.472
42.335297719444455,-72.62013126944443,2.6026,14.15056,245,2021,30.916,13.206
42.33529782777779,-72.62013133611109,2.6086,14.15083,245,2021,30.922,12.839
42.33529793055556,-72.62013129999998,2.6241,14.15111,245,2021,30.938,12.295
42.335297950000005,-72.62013118333333,2.6229,14.15139,245,2021,30.936,11.556
42.3352977888889,-72.6201308472222,2.6232,14.15167,245,2021,30.937,11.032
42.33529753611111,-72.62013069722222,2.6255,14.15194,245,2021,30.939,10.302
42.33529710555556,-72.62013056944444,2.615,14.15222,245,2021,30.928,9.763
