Serial_number:
2135439
Project ID:

Location:
CTR
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/30/2021,08:00:00 am,0,0.002,22.80
8/30/2021,08:15:00 am,0,0.004,22.90
8/30/2021,08:30:00 am,0,0.005,23.00
8/30/2021,08:45:00 am,0,0.003,23.00
8/30/2021,09:00:00 am,0,0.006,23.00
8/30/2021,09:15:00 am,0,0.005,22.90
8/30/2021,09:30:00 am,0,0.004,22.70
8/30/2021,09:45:00 am,0,0.005,22.60
8/30/2021,10:00:00 am,0,0.003,22.50
8/30/2021,10:15:00 am,0,0.003,22.60
8/30/2021,10:30:00 am,0,0.001,22.90
8/30/2021,10:45:00 am,0,0.004,23.20
8/30/2021,11:00:00 am,0,0.007,24.00
8/30/2021,11:15:00 am,0,0.008,24.90
8/30/2021,11:30:00 am,0,0.008,25.10
8/30/2021,11:45:00 am,0,0.007,25.30
8/30/2021,12:00:00 pm,0,0.007,25.50
8/30/2021,12:15:00 pm,0,0.009,25.90
8/30/2021,12:30:00 pm,0,0.006,26.60
8/30/2021,12:45:00 pm,0,0.007,27.10
8/30/2021,01:00:00 pm,0,0.007,27.20
8/30/2021,01:15:00 pm,0,0.006,27.20
8/30/2021,01:30:00 pm,0,0.006,27.20
8/30/2021,01:45:00 pm,0,0.008,27.20
8/30/2021,02:00:00 pm,0,0.007,27.40
8/30/2021,02:15:00 pm,0,0.001,28.00
8/30/2021,02:30:00 pm,0,0.010,27.60
8/30/2021,02:45:00 pm,0,0.012,27.40
8/30/2021,03:00:00 pm,0,0.010,27.20
8/30/2021,03:15:00 pm,0,0.010,27.10
8/30/2021,03:30:00 pm,0,0.012,26.70
8/30/2021,03:45:00 pm,0,0.011,26.10
8/30/2021,04:00:00 pm,0,0.011,25.80
8/30/2021,04:15:00 pm,0,0.007,28.90
8/30/2021,04:30:00 pm,0,0.416,25.10
8/30/2021,04:45:00 pm,0,0.413,25.10
8/30/2021,05:00:00 pm,0,0.405,25.00
8/30/2021,05:15:00 pm,0,0.400,24.80
8/30/2021,05:30:00 pm,0,0.395,24.50
8/30/2021,05:45:00 pm,0,0.405,24.80
8/30/2021,06:00:00 pm,0,0.398,24.30
