Serial_number:
2135434
Project ID:
CTR_20210822
Location:
CTR
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/30/2021,08:00:00 am,0,0.007,22.90
8/30/2021,08:15:00 am,0,0.006,22.90
8/30/2021,08:30:00 am,0,0.007,22.90
8/30/2021,08:45:00 am,0,0.005,22.90
8/30/2021,09:00:00 am,0,0.006,23.00
8/30/2021,09:15:00 am,0,0.008,23.00
8/30/2021,09:30:00 am,0,0.005,23.20
8/30/2021,09:45:00 am,0,0.004,23.40
8/30/2021,10:00:00 am,0,0.006,23.80
8/30/2021,10:15:00 am,0,0.004,24.10
8/30/2021,10:30:00 am,0,0.004,24.70
8/30/2021,10:45:00 am,0,0.004,25.00
8/30/2021,11:00:00 am,0,0.004,25.20
8/30/2021,11:15:00 am,0,0.005,25.50
8/30/2021,11:30:00 am,0,0.003,25.70
8/30/2021,11:45:00 am,0,0.002,25.90
8/30/2021,12:00:00 pm,0,0.003,26.20
8/30/2021,12:15:00 pm,0,0.014,26.70
8/30/2021,12:30:00 pm,0,0.012,27.00
8/30/2021,12:45:00 pm,0,0.014,27.30
8/30/2021,01:00:00 pm,0,0.014,27.50
8/30/2021,01:15:00 pm,0,0.013,27.90
8/30/2021,01:30:00 pm,0,0.012,28.50
8/30/2021,01:45:00 pm,0,0.013,28.90
8/30/2021,02:00:00 pm,0,0.015,29.40
8/30/2021,02:15:00 pm,0,0.015,30.20
8/30/2021,02:30:00 pm,0,0.013,30.70
8/30/2021,02:45:00 pm,0,0.012,31.10
8/30/2021,03:00:00 pm,0,0.011,31.50
8/30/2021,03:15:00 pm,0,0.011,32.20
8/30/2021,03:30:00 pm,0,0.011,32.40
8/30/2021,03:45:00 pm,0,0.522,24.20
8/30/2021,04:00:00 pm,0,0.524,24.20
8/30/2021,04:15:00 pm,0,0.525,24.20
8/30/2021,04:30:00 pm,0,0.526,24.20
8/30/2021,04:45:00 pm,0,0.531,24.30
8/30/2021,05:00:00 pm,0,0.532,24.30
8/30/2021,05:15:00 pm,0,0.535,24.30
8/30/2021,05:30:00 pm,0,0.537,24.30
8/30/2021,05:45:00 pm,0,0.537,24.30
8/30/2021,06:00:00 pm,0,0.545,24.40
8/30/2021,06:15:00 pm,0,0.556,24.30
8/30/2021,06:30:00 pm,0,0.566,24.30
8/30/2021,06:45:00 pm,0,0.579,24.30
8/30/2021,07:00:00 pm,0,0.592,24.30
8/30/2021,07:15:00 pm,0,0.611,24.30
8/30/2021,07:30:00 pm,0,0.617,24.30
8/30/2021,07:45:00 pm,0,0.636,24.30
8/30/2021,08:00:00 pm,0,0.650,24.30
8/30/2021,08:15:00 pm,0,0.669,24.30
8/30/2021,08:30:00 pm,0,0.683,24.30
8/30/2021,08:45:00 pm,0,0.695,24.30
8/30/2021,09:00:00 pm,0,0.724,24.20
8/30/2021,09:15:00 pm,0,0.746,24.20
8/30/2021,09:30:00 pm,0,0.765,24.10
8/30/2021,09:45:00 pm,0,0.790,24.00
8/30/2021,10:00:00 pm,0,0.822,24.00
8/30/2021,10:15:00 pm,0,0.838,23.90
8/30/2021,10:30:00 pm,0,0.870,23.90
8/30/2021,10:45:00 pm,0,0.897,23.90
8/30/2021,11:00:00 pm,0,0.916,23.80
8/30/2021,11:15:00 pm,0,0.928,23.80
8/30/2021,11:30:00 pm,0,0.957,23.80
8/30/2021,11:45:00 pm,0,0.979,23.80
8/31/2021,12:00:00 am,0,1.000,23.80
8/31/2021,12:15:00 am,0,1.005,23.80
8/31/2021,12:30:00 am,0,1.019,23.70
8/31/2021,12:45:00 am,0,1.028,23.70
8/31/2021,01:00:00 am,0,1.035,23.60
8/31/2021,01:15:00 am,0,1.034,23.60
8/31/2021,01:30:00 am,0,1.031,23.50
8/31/2021,01:45:00 am,0,1.028,23.50
8/31/2021,02:00:00 am,0,1.023,23.40
8/31/2021,02:15:00 am,0,1.018,23.40
8/31/2021,02:30:00 am,0,1.009,23.40
8/31/2021,02:45:00 am,0,1.000,23.30
8/31/2021,03:00:00 am,0,0.990,23.30
8/31/2021,03:15:00 am,0,0.979,23.30
8/31/2021,03:30:00 am,0,0.969,23.30
8/31/2021,03:45:00 am,0,0.953,23.20
8/31/2021,04:00:00 am,0,0.947,23.20
8/31/2021,04:15:00 am,0,0.941,23.20
8/31/2021,04:30:00 am,0,0.932,23.20
8/31/2021,04:45:00 am,0,0.919,23.20
8/31/2021,05:00:00 am,0,0.906,23.30
8/31/2021,05:15:00 am,0,0.895,23.30
8/31/2021,05:30:00 am,0,0.879,23.30
8/31/2021,05:45:00 am,0,0.869,23.30
8/31/2021,06:00:00 am,0,0.856,23.30
8/31/2021,06:15:00 am,0,0.841,23.30
8/31/2021,06:30:00 am,0,0.829,23.30
8/31/2021,06:45:00 am,0,0.819,23.30
8/31/2021,07:00:00 am,0,0.807,23.30
8/31/2021,07:15:00 am,0,0.794,23.40
8/31/2021,07:30:00 am,0,0.781,23.40
8/31/2021,07:45:00 am,0,0.770,23.40
8/31/2021,08:00:00 am,0,0.757,23.40
8/31/2021,08:15:00 am,0,0.751,23.40
8/31/2021,08:30:00 am,0,0.741,23.40
8/31/2021,08:45:00 am,0,0.732,23.50
8/31/2021,09:00:00 am,0,0.725,23.50
8/31/2021,09:15:00 am,0,0.714,23.50
8/31/2021,09:30:00 am,0,0.706,23.50
8/31/2021,09:45:00 am,0,0.697,23.60
8/31/2021,10:00:00 am,0,0.689,23.60
8/31/2021,10:15:00 am,0,0.683,23.70
8/31/2021,10:30:00 am,0,0.675,23.70
8/31/2021,10:45:00 am,0,0.673,23.80
8/31/2021,11:00:00 am,0,0.664,23.90
8/31/2021,11:15:00 am,0,0.659,23.90
8/31/2021,11:30:00 am,0,0.658,24.00
8/31/2021,11:45:00 am,0,0.655,24.00
8/31/2021,12:00:00 pm,0,0.654,24.10
8/31/2021,12:15:00 pm,0,0.649,24.20
8/31/2021,12:30:00 pm,0,0.648,24.20
8/31/2021,12:45:00 pm,0,0.645,24.20
8/31/2021,01:00:00 pm,0,0.642,24.20
8/31/2021,01:15:00 pm,0,0.634,24.20
8/31/2021,01:30:00 pm,0,0.638,24.30
8/31/2021,01:45:00 pm,0,0.637,24.30
8/31/2021,02:00:00 pm,0,0.638,24.30
8/31/2021,02:15:00 pm,0,0.641,24.40
8/31/2021,02:30:00 pm,0,0.641,24.40
8/31/2021,02:45:00 pm,0,0.641,24.40
8/31/2021,03:00:00 pm,0,0.642,24.40
8/31/2021,03:15:00 pm,0,0.642,24.40
8/31/2021,03:30:00 pm,0,0.639,24.40
8/31/2021,03:45:00 pm,0,0.643,24.30
8/31/2021,04:00:00 pm,0,0.644,24.40
8/31/2021,04:15:00 pm,0,0.643,24.40
8/31/2021,04:30:00 pm,0,0.641,24.30
8/31/2021,04:45:00 pm,0,0.639,24.40
8/31/2021,05:00:00 pm,0,0.635,24.40
8/31/2021,05:15:00 pm,0,0.629,24.50
8/31/2021,05:30:00 pm,0,0.624,24.50
8/31/2021,05:45:00 pm,0,0.621,24.50
8/31/2021,06:00:00 pm,0,0.616,24.50
8/31/2021,06:15:00 pm,0,0.616,24.50
8/31/2021,06:30:00 pm,0,0.613,24.50
8/31/2021,06:45:00 pm,0,0.602,24.50
8/31/2021,07:00:00 pm,0,0.599,24.50
8/31/2021,07:15:00 pm,0,0.595,24.50
8/31/2021,07:30:00 pm,0,0.593,24.50
8/31/2021,07:45:00 pm,0,0.593,24.50
8/31/2021,08:00:00 pm,0,0.591,24.40
8/31/2021,08:15:00 pm,0,0.593,24.40
8/31/2021,08:30:00 pm,0,0.597,24.40
8/31/2021,08:45:00 pm,0,0.602,24.30
8/31/2021,09:00:00 pm,0,0.615,24.30
8/31/2021,09:15:00 pm,0,0.624,24.20
8/31/2021,09:30:00 pm,0,0.635,24.20
8/31/2021,09:45:00 pm,0,0.647,24.20
8/31/2021,10:00:00 pm,0,0.658,24.20
8/31/2021,10:15:00 pm,0,0.671,24.20
8/31/2021,10:30:00 pm,0,0.682,24.20
8/31/2021,10:45:00 pm,0,0.693,24.20
8/31/2021,11:00:00 pm,0,0.705,24.20
8/31/2021,11:15:00 pm,0,0.717,24.20
8/31/2021,11:30:00 pm,0,0.722,24.20
8/31/2021,11:45:00 pm,0,0.728,24.30
9/1/2021,12:00:00 am,0,0.731,24.20
9/1/2021,12:15:00 am,0,0.738,24.30
9/1/2021,12:30:00 am,0,0.747,24.20
9/1/2021,12:45:00 am,0,0.753,24.20
9/1/2021,01:00:00 am,0,0.757,24.20
9/1/2021,01:15:00 am,0,0.759,24.20
9/1/2021,01:30:00 am,0,0.762,24.10
9/1/2021,01:45:00 am,0,0.762,24.10
9/1/2021,02:00:00 am,0,0.762,24.10
9/1/2021,02:15:00 am,0,0.762,24.00
9/1/2021,02:30:00 am,0,0.761,24.00
9/1/2021,02:45:00 am,0,0.758,23.90
9/1/2021,03:00:00 am,0,0.754,23.90
9/1/2021,03:15:00 am,0,0.751,23.80
9/1/2021,03:30:00 am,0,0.747,23.80
9/1/2021,03:45:00 am,0,0.743,23.80
9/1/2021,04:00:00 am,0,0.738,23.70
9/1/2021,04:15:00 am,0,0.733,23.70
9/1/2021,04:30:00 am,0,0.730,23.70
9/1/2021,04:45:00 am,0,0.724,23.60
9/1/2021,05:00:00 am,0,0.721,23.60
9/1/2021,05:15:00 am,0,0.714,23.50
9/1/2021,05:30:00 am,0,0.708,23.50
9/1/2021,05:45:00 am,0,0.704,23.50
9/1/2021,06:00:00 am,0,0.698,23.40
9/1/2021,06:15:00 am,0,0.696,23.40
9/1/2021,06:30:00 am,0,0.688,23.40
9/1/2021,06:45:00 am,0,0.682,23.30
9/1/2021,07:00:00 am,0,0.676,23.30
9/1/2021,07:15:00 am,0,0.675,23.30
9/1/2021,07:30:00 am,0,0.672,23.30
9/1/2021,07:45:00 am,0,0.668,23.30
9/1/2021,08:00:00 am,0,0.665,23.30
9/1/2021,08:15:00 am,0,0.662,23.30
9/1/2021,08:30:00 am,0,0.659,23.30
9/1/2021,08:45:00 am,0,0.658,23.30
9/1/2021,09:00:00 am,0,0.654,23.30
9/1/2021,09:15:00 am,0,0.650,23.30
9/1/2021,09:30:00 am,0,0.644,23.30
9/1/2021,09:45:00 am,0,0.640,23.30
9/1/2021,10:00:00 am,0,0.637,23.40
9/1/2021,10:15:00 am,0,0.633,23.40
9/1/2021,10:30:00 am,0,0.629,23.40
9/1/2021,10:45:00 am,0,0.626,23.40
9/1/2021,11:00:00 am,0,0.623,23.40
9/1/2021,11:15:00 am,0,0.621,23.40
9/1/2021,11:30:00 am,0,0.617,23.40
9/1/2021,11:45:00 am,0,0.613,23.40
9/1/2021,12:00:00 pm,0,0.610,23.50
9/1/2021,12:15:00 pm,0,0.606,23.50
9/1/2021,12:30:00 pm,0,0.601,23.50
9/1/2021,12:45:00 pm,0,0.594,23.50
9/1/2021,01:00:00 pm,0,0.592,23.50
9/1/2021,01:15:00 pm,0,0.589,23.50
9/1/2021,01:30:00 pm,0,0.586,23.60
9/1/2021,01:45:00 pm,0,0.582,23.60
9/1/2021,02:00:00 pm,0,0.582,23.60
9/1/2021,02:15:00 pm,0,0.580,23.60
9/1/2021,02:30:00 pm,0,0.577,23.60
9/1/2021,02:45:00 pm,0,0.579,23.60
9/1/2021,03:00:00 pm,0,0.574,23.60
9/1/2021,03:15:00 pm,0,0.568,23.60
9/1/2021,03:30:00 pm,0,0.569,23.60
9/1/2021,03:45:00 pm,0,0.572,23.60
9/1/2021,04:00:00 pm,0,0.569,23.60
9/1/2021,04:15:00 pm,0,0.568,23.50
9/1/2021,04:30:00 pm,0,0.568,23.50
9/1/2021,04:45:00 pm,0,0.562,23.50
9/1/2021,05:00:00 pm,0,0.560,23.50
9/1/2021,05:15:00 pm,0,0.557,23.50
9/1/2021,05:30:00 pm,0,0.557,23.50
9/1/2021,05:45:00 pm,0,0.555,23.50
9/1/2021,06:00:00 pm,0,0.551,23.50
9/1/2021,06:15:00 pm,0,0.548,23.40
9/1/2021,06:30:00 pm,0,0.547,23.40
9/1/2021,06:45:00 pm,0,0.548,23.40
9/1/2021,07:00:00 pm,0,0.544,23.40
9/1/2021,07:15:00 pm,0,0.538,23.30
9/1/2021,07:30:00 pm,0,0.537,23.20
9/1/2021,07:45:00 pm,0,0.539,23.30
9/1/2021,08:00:00 pm,0,0.536,23.30
9/1/2021,08:15:00 pm,0,0.534,23.20
9/1/2021,08:30:00 pm,0,0.533,23.20
9/1/2021,08:45:00 pm,0,0.539,23.20
9/1/2021,09:00:00 pm,0,0.534,23.10
9/1/2021,09:15:00 pm,0,0.538,23.10
9/1/2021,09:30:00 pm,0,0.534,23.00
9/1/2021,09:45:00 pm,0,0.542,23.00
9/1/2021,10:00:00 pm,0,0.546,23.00
9/1/2021,10:15:00 pm,0,0.549,22.90
9/1/2021,10:30:00 pm,0,0.561,22.90
