PT_Serial,Label,Node_ID,Reach_ID,US_Reach_ID,DS_Reach_ID,Lat_WGS84,Long_WGS84,Easting_UTM,Northing_UTM,Install_method,Date_Install,Time_Install_UTC,Date_Uninstall ,Time_Uninstall,GNSS_install_date,GNSS_Install_start,GNSS_Install_end,GNSS_offset_m,receiver,original_log_file,final_log_file,GNSS_Uninstall_start,GNSS_Uninstall_end,receiver,original_log_file,final_log_file
2139970,PT1,78220000190011,78220000191,78220000181,78220000191,44.538833,-123.246083,480449.94,4931752.12,Rebar,7/24/2022,20:00,7/29/2022,23:15,7/26/2022,17:37:10,17:47:10,1.00733,Rec3,WM_2070.22_,SWOTCalVal_WM_GNSS_L2_Rec3_20220726T155300_20220727T005100,23:19,23:29,Rec2,WM_2110.22_,SWOTCalVal_WM_GNSS_L2_Rec2_20220729T222100_20220730T023300
2139140,PT2,78220000180811,78220000181,78220000181,78220000191,44.555249,-123.259572,479384.11,4933578.9,Rebar,7/25/2022,19:00,7/29/2022,23:45,7/26/2022,18:09:00,18:20:00,1.00733,Rec3,WM_2070.22_,SWOTCalVal_WM_GNSS_L2_Rec3_20220726T155300_20220727T005100,23:42,23:52,Rec2,WM_2110.22_,SWOTCalVal_WM_GNSS_L2_Rec2_20220729T222100_20220730T023300
2139150,PT3,78220000180661,78220000181,NA,NA,44.577572,-123.24118,480852.17,4936054.03,Cinderblock,7/25/2022,20:45,7/30/2022,0:15,7/26/2022,18:57:00,19:07:00,1.00733,Rec3,WM_2070.22_,SWOTCalVal_WM_GNSS_L2_Rec3_20220726T155300_20220727T005100,0:07,0:17,Rec2,WM_2110.22_,SWOTCalVal_WM_GNSS_L2_Rec2_20220729T222100_20220730T023300
2139965,PT4,78220000180511,78220000181,NA,NA,44.585758,-123.20552,483685.59,4936955.58,Rebar,7/25/2022,21:45,7/30/2022,0:45,7/26/2022,19:25:00,19:35:00,1.00733,Rec3,WM_2070.22_,SWOTCalVal_WM_GNSS_L2_Rec3_20220726T155300_20220727T005100,0:37,0:47,Rec2,WM_2110.22_,SWOTCalVal_WM_GNSS_L2_Rec2_20220729T222100_20220730T023300
2139966,PT5,78220000180351,78220000181,NA,NA,44.596407,-123.189671,484946.45,4938135.42,Cinderblock,7/25/2022,22:30,7/30/2022,1:00,7/26/2022,19:53:45,20:03:45,1.00733,Rec3,WM_2070.22_,SWOTCalVal_WM_GNSS_L2_Rec3_20220726T155300_20220727T005100,1:02,1:12,Rec2,WM_2110.22_,SWOTCalVal_WM_GNSS_L2_Rec2_20220729T222100_20220730T023300
2139966,PT5,78220000180341,78220000181,NA,NA,44.596407,-123.189671,484946.45,4938135.42,Cinderblock,7/25/2022,22:30,7/30/2022,1:00,7/26/2022,19:53:45,20:03:45,1.00733,Rec3,WM_2070.22_,SWOTCalVal_WM_GNSS_L2_Rec3_20220726T155300_20220727T005100,1:02,1:12,Rec2,WM_2110.22_,SWOTCalVal_WM_GNSS_L2_Rec2_20220729T222100_20220730T023300
2139991,PT6,78220000180201,78220000181,78220000171,78220000181,44.614057,-123.182471,485522.27,4940094.67,Cinderblock,7/25/2022,23:15,7/30/2022,1:30,7/26/2022,20:22:00,20:34:30,1.00733,Rec3,WM_2070.22_,SWOTCalVal_WM_GNSS_L2_Rec3_20220726T155300_20220727T005100,1:30,1:40,Rec2,WM_2110.22_,SWOTCalVal_WM_GNSS_L2_Rec2_20220729T222100_20220730T023300
2139991,PT6,78220000180191,78220000181,78220000171,78220000181,44.614057,-123.182471,485522.27,4940094.67,Cinderblock,7/25/2022,23:15,7/30/2022,1:30,7/26/2022,20:22:00,20:34:30,1.00733,Rec3,WM_2070.22_,SWOTCalVal_WM_GNSS_L2_Rec3_20220726T155300_20220727T005100,1:30,1:40,Rec2,WM_2110.22_,SWOTCalVal_WM_GNSS_L2_Rec2_20220729T222100_20220730T023300
2139958,PT7,78220000170571,78220000171,78220000171,78220000181,44.637332,-123.160233,487291.77,4942676.35,,7/25/2022,18:30,7/31/2022,19:45,7/26/2022,21:13:00,21:23:00,1.00733,Rec3,WM_2070.22_,SWOTCalVal_WM_GNSS_L2_Rec3_20220726T155300_20220727T005100,19:39,19:49,Rec2,WM_2120.22_,SWOTCalVal_WM_GNSS_L2_Rec2_20220731T162900_20220731T210100
2139148,PT8,78220000170401,78220000171,78220000171,78220000181,44.641334,-123.11754,490678.44,4943115.13,rebar,7/25/2022,19:45,7/31/2022,20:00,7/26/2022,21:44:00,21:54:00,1.00733,Rec3,WM_2070.22_,SWOTCalVal_WM_GNSS_L2_Rec3_20220726T155300_20220727T005100,20:04,20:14,Rec2,WM_2120.22_,SWOTCalVal_WM_GNSS_L2_Rec2_20220731T162900_20220731T210100
