"","node_id","node_box_x_min","node_box_x_max","node_box_y_min","node_box_y_max"
"1","78220000170381",490934.999881623,491144.999882153,4942878.60183981,4943141.39746092
"2","78220000170391",490724.761371664,490935.238589976,4942884.94005742,4943184.77352951
"3","78220000170401",490544.775102864,490725.224918287,4942915.09800811,4943160.90144396
"4","78220000170411",490333.057381542,490546.942816493,4942816.07770875,4943227.92159258
"5","78220000170421",490155.399234782,490334.601108534,4942791.65022519,4943108.34922656
"6","78220000170431",489973.827755701,490156.172586529,4942719.07365003,4943044.92580174
"7","78220000170441",489794.137079574,489975.863141134,4942655.92548284,4942964.07396922
"8","78220000170451",489584.628393489,489795.371847669,4942605.92346921,4942898.07583218
"9","78220000170461",489405.291359244,489584.708780141,4942538.57288173,4942899.42657043
"10","78220000170471",489194.10881611,489405.891168104,4942521.71393636,4942889.71393636
"11","78220000170481",488984.167614668,489195.832407789,4942448.41969747,4942932.15103245
"12","78220000170491",488804.756198869,488985.243685763,4942518.31038763,4942883.68906421
"13","78220000170501",488594.999985483,488804.999986327,4942529.99965064,4942889.99965064
"14","78220000170511",488413.609028745,488596.391042975,4942523.29614145,4942884.70331069
"15","78220000170521",488204.405858835,488415.594093897,4942496.57107919,4942856.57107919
"16","78220000170541",487814.775062796,487995.224878551,4942529.09561094,4942768.90384103
"17","78220000170551",487604.999981164,487814.999982164,4942589.99965063,4942709.99965063
"18","78220000170561",487424.461243321,487605.538615484,4942584.51259349,4942727.48685824
"19","78220000170571",487197.831039693,487412.168843835,4942612.62659944,4942768.37252761
"20","78220000180011",487004.137058616,487185.863120539,4942532.96254737,4942791.03690475
"21","78220000180021",486823.827742435,487006.172573669,4942478.67003177,4942709.32942014
"22","78220000180031",486645.644904306,486824.355617817,4942386.74639835,4942591.25305278
"23","78220000180051",486279.824492088,486606.175838538,4942125.97515279,4942304.02461005
"24","78220000180061",486213.148573209,486584.85132985,4941943.29091088,4942126.70893763
"25","78220000180071",486293.212758964,486545.072875521,4941734.46442319,4941945.53542825
"26","78220000180081",486264.185233144,486607.814573001,4941552.49540594,4941737.50443511
"27","78220000180091",486345.604742971,486652.109154096,4941344.14749685,4941555.85230307
"28","78220000180101",486428.561904792,486679.437828627,4941164.37131087,4941345.62851336
"29","78220000180111",486507.165216319,486624.834897376,4940981.74580933,4941168.25402498
"30","78220000180121",486387.304744238,486565.495652583,4940824.50436054,4941002.69526991
