"","node_id","reach_id","drift_id","time_diff_to_swot_drift_sec","swot_time_UTC","swot_passid"
"1","78220000220121","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",667,2022-07-26 21:44:47,"fake swot pass ID"
"2","78220000220141","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",381,2022-07-26 21:44:47,"fake swot pass ID"
"3","78220000220161","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",121,2022-07-26 21:44:47,"fake swot pass ID"
"4","78220000220171","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",0,2022-07-26 21:44:47,"fake swot pass ID"
"5","78220000220181","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",118,2022-07-26 21:44:47,"fake swot pass ID"
"6","78220000220191","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",197,2022-07-26 21:44:47,"fake swot pass ID"
"7","78220000220201","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",287,2022-07-26 21:44:47,"fake swot pass ID"
"8","78220000220211","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",387,2022-07-26 21:44:47,"fake swot pass ID"
"9","78220000220221","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",505,2022-07-26 21:44:47,"fake swot pass ID"
"10","78220000220231","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",648,2022-07-26 21:44:47,"fake swot pass ID"
"11","78220000220241","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",802,2022-07-26 21:44:47,"fake swot pass ID"
"12","78220000220251","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",881,2022-07-26 21:44:47,"fake swot pass ID"
"13","78220000220281","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",1521,2022-07-26 21:44:47,"fake swot pass ID"
"14","78220000220291","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",1639,2022-07-26 21:44:47,"fake swot pass ID"
"15","78220000220301","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",1928,2022-07-26 21:44:47,"fake swot pass ID"
"16","78220000220321","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",2421,2022-07-26 21:44:47,"fake swot pass ID"
"17","78220000220331","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",2509,2022-07-26 21:44:47,"fake swot pass ID"
"18","78220000220381","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",3125,2022-07-26 21:44:47,"fake swot pass ID"
"19","78220000220391","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",3349,2022-07-26 21:44:47,"fake swot pass ID"
"20","78220000220401","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",3481,2022-07-26 21:44:47,"fake swot pass ID"
"21","78220000220421","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",3723,2022-07-26 21:44:47,"fake swot pass ID"
"22","78220000220431","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",3874,2022-07-26 21:44:47,"fake swot pass ID"
"23","78220000220441","78220000221","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",4061,2022-07-26 21:44:47,"fake swot pass ID"
"24","78220000230011","78220000231","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",5690,2022-07-26 21:44:47,"fake swot pass ID"
"25","78220000230021","78220000231","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",5846,2022-07-26 21:44:47,"fake swot pass ID"
"26","78220000230031","78220000231","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",5934,2022-07-26 21:44:47,"fake swot pass ID"
"27","78220000230041","78220000231","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",6026,2022-07-26 21:44:47,"fake swot pass ID"
"28","78220000230061","78220000231","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",6292,2022-07-26 21:44:47,"fake swot pass ID"
"29","78220000230091","78220000231","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",6671,2022-07-26 21:44:47,"fake swot pass ID"
"30","78220000230101","78220000231","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",6814,2022-07-26 21:44:47,"fake swot pass ID"
"31","78220000230111","78220000231","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",6880,2022-07-26 21:44:47,"fake swot pass ID"
"32","78220000230121","78220000231","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",6980,2022-07-26 21:44:47,"fake swot pass ID"
"33","78220000230131","78220000231","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",7092,2022-07-26 21:44:47,"fake swot pass ID"
"34","78220000230141","78220000231","SWOTCalVal_WM_GNSS_L2_Rec2_20220726T155300_20220727T002400",7193,2022-07-26 21:44:47,"fake swot pass ID"
"186","78220000210231","78220000211","SWOTCalVal_WM_GNSS_L2_Rec3_20220726T155300_20220727T005100",6994,2022-07-26 21:44:47,"fake swot pass ID"
"190","78220000210271","78220000211","SWOTCalVal_WM_GNSS_L2_Rec3_20220726T155300_20220727T005100",7028,2022-07-26 21:44:47,"fake swot pass ID"
"191","78220000210281","78220000211","SWOTCalVal_WM_GNSS_L2_Rec3_20220726T155300_20220727T005100",6570,2022-07-26 21:44:47,"fake swot pass ID"
