x,y,reach_id,reach_len,n_nodes,wse,wse_var,width,width_var,facc,n_chan_max,n_chan_mod,obstr_type,grod_id,hfalls_id,slope,dist_out,lakeflag,max_width,n_rch_up,n_rch_dn,rch_id_up,rch_id_dn,swot_orbit,swot_obs,type,river_name
-122.707915,45.552653,"78220000031",10440.302922,"52",4.100000,0.152827,426.500000,21258.864064,24641.568070,"2","1","0","0","0",0.108514,206532.388251,"0","998","1","1","78220000041","78220000021",39  274  345  552,"4","1",Willamette River
-122.661127,45.474950,"78220000041",10461.185910,"52",4.100000,0.000000,337.000000,55764.180677,23839.015292,"5","1","0","0","0",0.000000,216993.574161,"0","1556","1","1","78220000051","78220000031",39  274  552,"3","1",Willamette River
-122.631697,45.392846,"78220000051",11723.325996,"59",4.100000,0.414235,167.500000,3855.630070,22927.023499,"2","1","0","0","0",0.166020,228716.900157,"0","445","1","1","78220000064","78220000041",39  274  552,"3","1",Willamette River
-122.617899,45.350854,"78220000064",412.362432,"2",6.100000,0.000000,366.000000,3065.972222,21950.490748,"2","1","5","0","628",0.000000,229129.262589,"0","445","1","1","78220000071","78220000051",39  274  552,"3","4",Willamette River
-122.683353,45.308125,"78220000071",18442.049204,"92",18.900000,19.367441,183.000000,5473.527705,21916.817205,"1","1","0","0","0",0.725915,247571.311793,"0","509","1","1","78220000081","78220000064",39  274  552,"3","1",Willamette River
-122.848046,45.271055,"78220000081",15960.525266,"80",20.600000,0.096862,152.000000,456.285214,20362.221964,"1","1","0","0","0",0.059248,263531.837058,"0","536","1","1","78220000091","78220000071",39  274  345  552,"4","1",Willamette River
-122.976317,45.266432,"78220000091",10225.127963,"51",21.600000,0.047061,155.000000,924.971137,18987.218953,"2","1","0","0","0",0.063809,273756.965021,"0","678","1","1","78220000101","78220000081",39  274  345,"3","1",Willamette River
-123.026198,45.215652,"78220000101",10184.049719,"51",22.800001,0.154612,137.000000,1859.608002,18131.349732,"2","1","0","0","0",0.109648,283941.014739,"0","339","1","1","78220000111","78220000091",39  274  345,"3","1",Willamette River
-123.018279,45.165802,"78220000111",10232.600263,"51",25.500000,0.772552,110.000000,1803.201931,17247.419225,"2","1","0","0","0",0.246934,294173.615003,"0","424","1","1","78220000121","78220000101",39  274  345,"3","1",Willamette River
-123.022506,45.106857,"78220000121",10163.523886,"51",27.400000,0.218480,108.000000,879.964101,16388.743875,"2","1","0","0","0",0.138471,304337.138889,"0","234","1","1","78220000131","78220000111",39  274  345,"3","1",Willamette River
